Course,University,Masters/Bachelors,Language,Course Duration,Course Link
SOCIAL WORK AND COMPLEX ISSUES - LM-87 R,Università degli Studi di VERONA,Magistrale,IT,2 years,https://degree.units.it/2-digital-ecological-social-transition
SOCIAL POLICIES AND SOCIAL WORK - LM-87 R,Università degli Studi di CASSINO e del LAZIO MERIDIONALE,Magistrale,IT,2 years,https://corsi.unitn.it/en/sociology-and-social-research
ANALYSIS OF SOCIAL PROCESSES - LM-88 R,Università degli Studi di MILANO-BICOCCA,Magistrale,IT,2 years,https://www.universitaly.it/#
"SOCIAL WORK, SOCIAL POLITICS, PLANNING AND MANAGEMENT IN SOCIAL SERVICES - LM-87 R",Università degli Studi di TRIESTE,Magistrale,IT,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale?tipo=LM&scuola=SU&ordinamento=2025&key=SU3050&cg=sociologia
"SOCIAL SERVICIES, SOCIAL POLICY, SOCIOLOGY AND SOCIAL RESEARCH - LM-87 R",Università degli Studi di MESSINA,Magistrale,IT,2 years,https://corsi.unibo.it/2cycle/PsychologyWellbeingInclusivity
SOCIAL WORK AND SOCIAL POLICIES - LM-87 R,Università degli Studi di TORINO,Magistrale,IT,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/psicologia?tipo=LM&scuola=PS&ordinamento=2025&key=PS2965&cg=psicologia
SOCIAL WORK AND SOCIAL POLICIES - LM-87 R,Università degli Studi di SASSARI,Magistrale,IT,2 years,https://www.universitaly.it/#
SOCIAL WORK AND POLICIES - LM-87 R,Università degli Studi di GENOVA,Magistrale,EN,3 years,https://socialsciences.cdl.unipv.it/en
SOCIAL POLICIES AND SOCIAL WORK - LM-87 R,Università della CALABRIA,Magistrale,EN,3 years,https://corsi.unibo.it/1cycle/EconomicsPoliticsSocialSciences
SOCIAL WORK - L-39 R,Libera Università di BOLZANO,Triennale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economic-and-social-sciences
INTERNATIONAL RELATIONS - LM-52 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,EN,2 years,https://graduate.luiss.it/it/course/international-relations
DATA SCIENCE AND MANAGEMENT - LM-91 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,EN,2 years,https://graduate.luiss.it/it/course/data-science-and-management
POLITICS: PHILOSOPHY AND ECONOMICS - L-36 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Triennale,EN,3 years,https://undergraduate.luiss.it/it/course/politics-philosophy-and-economics
MANAGEMENT AND ARTIFICIAL INTELLIGENCE - L-18 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Triennale,EN,3 years,https://undergraduate.luiss.it/it
ECONOMICS AND BUSINESS - L-33 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Triennale,EN,3 years,https://undergraduate.luiss.it/it/course/economics-and-business/
GLOBAL LAW - L-14 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Triennale,EN,3 years,https://undergraduate.luiss.it/it
DATA ANALYTICS FOR BUSINESS AND SOCIETY - LM-91 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr14
GLOBAL POLITICS AND SOCIETY - LM-62 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://gps.cdl.unimi.it/en
MIGRATION STUDIES AND NEW SOCIETIES - LM-90 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://migrations.cdl.unimi.it/
HUMAN RIGHTS AND MULTI-LEVEL GOVERNANCE - LM-52 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?ordinamento=2025&key=EP2894&tipo=LM&scuola=EP
ICT ENGINEERING FOR SMART SOCIETIES - LM-27,Politecnico di TORINO,Magistrale,EN,2 years,https://www.polito.it/corsi/37-476
"SUSTAINABLE TERRITORIAL DEVELOPMENT – CLIMATE CHANGE, DIVERSITY, COOPERATION - LM-81 R",Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?tipo=LM&scuola=IN&ordinamento=2025&key=IN2941&cg=scienze
"CONSUMER BEHAVIOUR: PSYCHOLOGY APPLIED TO FOOD, HEALTH AND ENVIRONMENT - LM-51 R",Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/magistrale/consumer-behaviour-psychology-applied-to-food-health-and-environment-cremona.html
INTERACTION DESIGN - L-4 R,Politecnico di MILANO,Triennale,EN,3 years,https://www.design.polimi.it/it
CYBER RISK STRATEGY AND GOVERNANCE - LM-91 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/cyber-risk-strategy-and-governance
HUMAN-COMPUTER INTERACTION - LM-55 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/human-computer-interaction
GLOBAL STUDIES FOR SUSTAINABLE LOCAL AND INTERNATIONAL DEVELOPMENT AND COOPERATION - L-37 R,Università degli Studi di PARMA,Triennale,EN,3 years,https://corsi.unipr.it/en/scheda/cdl-globals
HUMAN-CENTERED ARTIFICIAL INTELLIGENCE - LM-55 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://hcai.cdl.unimi.it/en
COGNITIVE PSYCHOLOGY IN HEALTH COMMUNICATION - LM-51 R,UNISR - Università Vita Salute San Raffaele,Magistrale,EN,2 years,https://www.unisr.it/offerta-formativa/psicologia/corso-di-laurea-magistrale-cognitive-psychology-in-health-communication
DATA SCIENCE - LM-DATA,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1175
DATA SCIENCE - LM-DATA,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/data-science
LOCAL DEVELOPMENT - LM-81 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale?ordinamento=2025&key=SU3041&tipo=LM&scuola=SU
DIGITAL AND INTERACTION DESIGN - LM-12 R,Politecnico di MILANO,Magistrale,EN,2 years,http://www.digitalinteractiondesign.polimi.it/
DIGITAL ECONOMICS AND BUSINESS - L-33 R,Università Politecnica delle MARCHE,Triennale,EN,3 years,https://www.econ.univpm.it/ET07
DATA SCIENCE FOR ECONOMICS AND HEALTH - LM-DATA,Università degli Studi di MILANO,Magistrale,EN,2 years,https://dseh.cdl.unimi.it/en
EUROPEAN AND INTERNATIONAL STUDIES - LM-52 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/european-and-international-studies
MANAGEMENT - LM-77 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/it/management
MANAGEMENT - LM-77 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/european-master-business-studies
FOOD INDUSTRY MANAGEMENT - LM/GASTR R,Università degli Studi di SCIENZE GASTRONOMICHE,Magistrale,EN,2 years,https://www.unisg.it/corsi-iscrizioni/laurea-magistrale/
ARTIFICIAL INTELLIGENCE FOR SCIENCE AND TECHNOLOGY - LM-91 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/course/index.php?categoryid=9164
PRODUCT AND SERVICE DESIGN - LM-12 R,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33433
POLITICS AND POLICY ANALYSIS - LM-62 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/politics-and-policy-analysis
GLOBAL GOVERNANCE - L-16 R,"Università degli Studi di ROMA ""Tor Vergata""",Triennale,EN,3 years,http://www.globalgovernance.it/
APPLIED EXPERIMENTAL PSYCHOLOGICAL SCIENCES - LM-51 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,http://didattica.unimib.it/F5109P
"ECONOMICS, MANAGEMENT AND COMPUTER SCIENCE - L-33 R","Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/economics-management-and-computer-science
INTERNATIONAL MANAGEMENT - LM-77 R,Università degli Studi di MODENA e REGGIO EMILIA,Magistrale,EN,2 years,https://www.economia.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/international-management-im
FINANCE - LM-16 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://finance.unisi.it/it
DATA SCIENCE - LM-DATA,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/course/index.php?categoryid=9172&lang=en
BUSINESS ECONOMICS AND ORGANIZATION - L-18 R,"LUM ""Giuseppe Degennaro""",Triennale,EN,3 years,http://%20https//www.lum.it/laurea-in-business-economics-and-organization/
ECONOMICS AND SCIENCE FOR ENVIRONMENTAL SUSTAINABILITY - L-33 R,Università degli Studi di MILANO-BICOCCA,Triennale,EN,3 years,https://www.unimib.it/didattica/offerta-formativa/corsi-laurea-iscrizioni/area-economico-statistica-laurea-triennale
LANGUAGES AND LITERATURES FOR THE EUROPEAN PLURILINGUALISM - LM-37 R,Università degli Studi di Napoli Federico II,Magistrale,EN,2 years,http://studiumanistici.dip.unina.it/it/didattica/corsi-di-laurea/
STRATEGIC COMMUNICATION - LM-59 R,Libera Università di lingue e comunicazione IULM-MI,Magistrale,EN,2 years,https://www.iulm.it/it/offerta-formativa/corsi-di-lauree-magistrali/strategic-communication/strategic-communication
SECURITY AND HUMAN RIGHTS - LM-90 R,Università degli Studi della TUSCIA,Magistrale,EN,2 years,http://www.unitus.it/it/dipartimento/distu/corso-di-laurea-magistrale-in-security-and-human-rights-lm-90-/articolo/presentazione-corso
